"team_g","team_s","team_b","aa_g","aa_s","aa_b","event_g","event_s","event_b"
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0918367346938776
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0.137755102040816,0.275510204081633,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0.0459183673469388
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
