"","Country","fullname"
"1","BEL","ABERDEEN O'DRISCOL"
"2","BEL","NINA DERWAEL"
"3","BEL","NOEMIE LOUON"
"4","BEL","LISA VAELEN"
"5","BEL","MAELLYSE BRASSART"
"6","BRA","FLAVIA SARAIVA"
"7","BRA","JOSIANY SILVA"
"8","BRA","JULIA SOARES"
"9","BRA","REBECA ANDRADE"
"10","BRA","CAROLYNE PEDRO"
"11","CAN","CASSANDRA LEE"
"12","CAN","CLARA RAPOSO"
"13","CAN","DENELLE PEDRICK"
"14","CAN","ELSABETH BLACK"
"15","CAN","LAURIE DENOMMEE"
"16","CHN","RUI LUO"
"17","CHN","XIAOYUAN WEI"
"18","CHN","YUSHAN OU"
"19","CHN","HUAN LUO"
"20","CHN","QIYUAN QIU"
"21","FRA","LEA FRANCERIES"
"22","FRA","MELANIE JESUS SANTOS"
"23","FRA","SHEYEN PETIT"
"24","FRA","ALINE FRIESS"
"25","FRA","COLINE DEVILLARD"
"26","GBR","ALICE KINSELLA"
"27","GBR","GEORGIA FENTON"
"28","GBR","JENNIFER GADIROVA"
"29","GBR","ONDINE ACHAMPONG"
"30","GBR","JESSICA GADIROVA"
"31","HUN","NIKOLETT SZILAGYI"
"32","HUN","ZOJA SZEKELY"
"33","HUN","LILLA MAKAI"
"34","HUN","GRETA MAYER"
"35","HUN","ZSOFIA KOVACS"
"36","ITA","ASIA D AMATO"
"37","ITA","ELISA IORIO"
"38","ITA","GIORGIA VILLA"
"39","ITA","MARTINA MAGGIO"
"40","ITA","ALICE D AMATO"
"41","JPN","MANA OKAMURA"
"42","JPN","NANAMI YAMAMOTO"
"43","JPN","URARA ASHIKAWA"
"44","JPN","AZUKI KOKUFUGATA"
"45","JPN","SHOKO MIYATA"
"46","NED","CASEY-JANE MEULEMAN"
"47","NED","SHADE VAN OORSCHOT"
"48","NED","EYTHORA THORSDOTTIR"
"49","NED","NAOMI VISSER"
"50","NED","SANNE WEVERS"
"51","ROU","LILIA COSMAN"
"52","ROU","SILVIANA SFIRINGU"
"53","ROU","ANDREEA PREDA"
"54","ROU","SABRINA MANECA VOINEA"
"55","ROU","ANA BARBOSU"
"56","USA","EMJAE FRAZIER"
"57","USA","JORDAN CHILES"
"58","USA","SHILESE JONES"
"59","USA","KONNOR MCCLAIN"
"60","USA","SIMONE BILES"
